PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Yan, Feng-ying; Zhang, Qi; He, Ze-nan								Assessment of Fire Risk in Central Business District - Taking Yujiapu of Tianjin City as Example								Proceedings of the International Asia Conference on Industrial Engineering and Management Innovation								171	176		10.2991/978-94-6239-100-0_32			2015	2015						5th International Asia Conference on Industrial Engineering and Management Innovation (IEMI) / 4th Institute-of-Industrial-Engineers (IIE) Asian Conference	JUL 21-22, 2014	CIEI; Xian Jiaotong Univ	Xian, PEOPLES R CHINA	3							WOS:000374580600032		
J	Giannopoulos, Giorgos; Vitsas, Nick; Karagiannakis, Nikos; Skoutas, Dimitrios; Athanasiou, Spiros								FAGI-gis: A Tool for Fusing Geospatial RDF Data								Lecture Notes in Computer Science				9341				51	57		10.1007/978-3-319-25639-9_10			2015	2015						12th European Semantic Web Conference (ESWC)	MAY 31-JUN 04, 2015	Inria; STI Int; xLiMe; Byte; Ontotext	Portoroz, SLOVENIA	0							WOS:000374570000010		
J	Galton, Antony								Outline of a Formal Theory of Processes and Events, and Why GIScience Needs One								Lecture Notes in Computer Science				9368				3	22		10.1007/978-3-319-23374-1_1			2015	2015						12th International Conference on Spatial Information Theory (COSIT)	OCT 12-16, 2015	Univ Saskatchewan, Social Sci Res Labs; Univ New Mexico, Dept Psychol; Univ New Mexico, Off Res; Univ New Mexico, Coll Arts & Sci	Santa Fe, NM	0							WOS:000374470900001		
J	Wartmann, Flurina M.; Egorova, Ekaterina; Derungs, Curdin; Mark, David M.; Purves, Ross S.								More Than a List: What Outdoor Free Listings of Landscape Categories Reveal About Commonsense Geographic Concepts and Memory Search Strategies								Lecture Notes in Computer Science				9368				224	243		10.1007/978-3-319-23374-1_11			2015	2015						12th International Conference on Spatial Information Theory (COSIT)	OCT 12-16, 2015	Univ Saskatchewan, Social Sci Res Labs; Univ New Mexico, Dept Psychol; Univ New Mexico, Off Res; Univ New Mexico, Coll Arts & Sci	Santa Fe, NM	0							WOS:000374470900011		
J	Saman, Mohamad Afif; Ismail, Ahmad Fadzil; Badron, Khairayu; Ramli, Huda Adibah Mohd; Hashim, Wahidah; Fakrullah, Ahmad Nasruddin 'Atiqullah								Development of Spectrum Management Tool for Malaysia Using Open-Source GIS Software								Lecture Notes in Electrical Engineering				344				127	135		10.1007/978-3-319-17269-9_14			2015	2015						1st Applied Electromagnetic International Conference (APPEIC)	DEC 16-18, 2014	Narujaya Enterprise; Malaysia Tech Scientist Assoc; Univ Malaysia Perlis	Bandung, INDONESIA	0							WOS:000376043000014		
J	Setareh, Parastou; Khezri, Seyed Mostafa; Fazeli, Somaye								Groundwater Source qualitative parameters modeling by geographical Data system and chemical determination by Aq. QA software (Sonqor County)								INTERNATIONAL JOURNAL OF ADVANCED BIOTECHNOLOGY AND RESEARCH				6	4			515	528					2015	2015										0							WOS:000375782200012		
J	Almehasneh, Ahssem; Roesch, Christine; Ketzer, Daniel								GIS-based modelling of forest biomass potentials in Germany and North West Europe								ALLGEMEINE FORST UND JAGDZEITUNG				186	11/12			227	242					2015	2015										0							WOS:000374714400003		
J	Prieto-Martinez, M. P.; Martinez-Cortizas, A.; Lantes-Suarez, O.; Guimarey, B.								Bell Beaker pottery from Galicia (NW Spain): An archaeometric characterization and provenance study of some representative sites								CUADERNOS DE PREHISTORIA Y ARQUEOLOGIA-UNIVERSIDAD AUTONOMA DE MADRID				41				109	125					2015	2015										2							WOS:000374886700009		
J	Tamayo, C. V.; Leite, E.								THE INFORMATION TECHNOLOGY AND COMMUNICATIONS AS TOOLS FOR CULTURAL HERITAGE MANAGEMENT WITH AN ENTREPRENEURIAL VISION.								HOLOS				31	8			290	303					2015	2015										0							WOS:000375316500025		
J	Biswas, H.; Raizada, A.; Mandal, D.; Kumar, S.; Srinivas, S.; Mishra, P. K.								Identification of areas vulnerable to soil erosion risk in India using GIS methods								SOLID EARTH				6	4			1247	1257		10.5194/se-6-1247-2015			2015	2015										13							WOS:000374540800011		
J	Sadoughi, Farahnaz; Zarei, Javad; Mohammadi, Ali; Hataminejad, Hojat; Sakipour, Sara								ANALYSIS OF GEOGRAPHICAL ACCESSIBILITY TO RURAL HEALTH HOUSES USING THE GEOSPATIAL INFORMATION SYSTEM, A CASE STUDY: KHUZESTAN PROVINCE, SOUTH-WEST IRAN								ACTA MEDICA MEDITERRANEA				31				1447	1454					2015	2015										0							WOS:000375337500018		
J	Chen, Baohua; Deng, Lei; Duan, Yueqi; Huang, Siyuan; Zhou, Jie			IEEE					BUILDING CHANGE DETECTION BASED ON 3D RECONSTRUCTION								IEEE International Conference on Image Processing ICIP								4126	4130					2015	2015						IEEE International Conference on Image Processing (ICIP)	SEP 27-30, 2015	Inst Elect & Elect Engineers; IEEE Signal Proc Soc	Quebec City, CANADA	2							WOS:000371977804052		
J	Pascual Bellido, Nuria								DIDACTIC POSSIBILITIES OF GEOSPATIAL DATA INFRASTRUCTURES IDERioja IMPLEMENTATION PROPOSAL								CONTEXTOS EDUCATIVOS-REVISTA DE EDUCACION					18			109	128					2015	2015										0							WOS:000374248900007		
J	Garcia-Ruiz, J. M.								WHY GEOMORPHOLOGY IS A GLOBAL SCIENCE								CUADERNOS DE INVESTIGACION GEOGRAFICA				41	1			87	105		10.18172/cig.2652			2015	2015										8							WOS:000374193900004		
J	Szabo, A. I.; Raveloson, A.; Szekely, B.								LANDSCAPE EVOLUTION AND CLIMATE IN MADAGASCAR: LAVAKIZATION IN THE LIGHT OF ARCHIVE PRECIPITATION DATA								CUADERNOS DE INVESTIGACION GEOGRAFICA				41	1			181	204		10.18172/cig.2646			2015	2015										1							WOS:000374193900009		
J	Alcantara-Manzanares, J.; Munoz-Alvarez, J. M.								Automated method for identification and characterization of landscape units								CUADERNOS DE INVESTIGACION GEOGRAFICA				41	1			205	230		10.18172/cig.2632			2015	2015										1							WOS:000374193900010		
J	Odat, Sana'a; Neukum, Christoph; Azzam, Rafig; Dominik, Zimmer								Spatial Distribution Of Groundwater Quality In Mafraq Area, Jordan Using GIS and Water Quality Index(WQI)								INTERNATIONAL JOURNAL OF ECOLOGY & DEVELOPMENT				30	2			55	75					2015	2015										0							WOS:000374233100007		
